iShares Core S&P Total U.S. Stock Market ETF
Fund Holdings as of,"Apr 29, 2020"
Inception Date,"Jan 20, 2004"
Shares Outstanding,"366,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MSFT","MICROSOFT CORP","Equity","4.70","177.43","6,348,192.00","1,126,359,706.56","1,126,359,706.56","Information Technology","2588173","US5949181045","NASDAQ"
"AAPL","APPLE INC","Equity","4.17","287.73","3,475,545.00","1,000,018,562.85","1,000,018,562.85","Information Technology","2046251","US0378331005","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.43","2,372.71","346,562.00","822,291,123.02","822,291,123.02","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.62","194.19","2,002,497.00","388,864,892.43","388,864,892.43","Communication","B7TL820","US30303M1027","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.40","1,342.18","249,331.00","334,647,081.58","334,647,081.58","Communication","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","1.39","1,341.48","248,716.00","333,647,539.68","333,647,539.68","Communication","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.37","150.24","2,190,074.00","329,036,717.76","329,036,717.76","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.29","189.61","1,627,690.00","308,626,300.90","308,626,300.90","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.08","181.79","1,424,471.00","258,954,583.09","258,954,583.09","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.06","97.86","2,609,784.00","255,393,462.24","255,393,462.24","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.01","117.08","2,075,178.00","242,961,840.24","242,961,840.24","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.95","287.65","788,375.00","226,776,068.75","226,776,068.75","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.93","61.80","3,619,523.00","223,686,521.40","223,686,521.40","Information Technology","2463247","US4581401001","NASDAQ"
"MA","MASTERCARD INC CLASS A","Equity","0.87","283.69","739,366.00","209,750,740.54","209,750,740.54","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.84","221.81","907,473.00","201,286,586.13","201,286,586.13","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.83","58.12","3,443,791.00","200,153,132.92","200,153,132.92","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.80","31.43","6,078,108.00","191,034,934.44","191,034,934.44","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.73","38.12","4,609,197.00","175,702,589.64","175,702,589.64","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.71","80.77","2,119,303.00","171,176,103.31","171,176,103.31","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.70","112.25","1,497,809.00","168,129,060.25","168,129,060.25","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","0.70","47.46","3,522,751.00","167,189,762.46","167,189,762.46","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.70","24.78","6,731,106.00","166,796,806.68","166,796,806.68","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.64","133.36","1,159,166.00","154,586,377.76","154,586,377.76","Consumer Staples","2681511","US7134481081","NASDAQ"
