,Company,Stats,Quote,Chart
MSFT,Packaged Software,1356222409600,180.76,172.79
AAPL,Telecommunications Equipment,1270655114400,297.56,298.81
AMZN,Internet Retail,1155160228240,2317.8,1953.95
FB,Internet Software/Services,584898633000,207.07,196.44
GOOGL,Internet Software/Services,903037324644,1349.02,1386.32
GOOG,Internet Software/Services,905699540659,1351.11,1389.11
JNJ,Pharmaceuticals: Major,390630659300,149.5,140.02
BRK.B,Multi-Line Insurance,432569757500,176.03,217.63
V,Finance/Rental/Leasing,343316350000,178.44,192.33
JPM,Major Banks,280708195600,92.0,121.52
PG,Household/Personal Care,286604842800,116.01,119.56
UNH,Managed Health Care,272422872040,293.04,273.11
INTC,Semiconductors,245529660000,58.75,58.18
MA,Finance/Rental/Leasing,270348079660,273.98,306.74
HD,Home Improvement Chains,238282780800,225.61,229.94
VZ,Major Telecommunications,232721120000,56.51,57.32
T,Major Telecommunications,212317248000,29.74,37.18
PFE,Pharmaceuticals: Major,208702216800,38.51,34.88
MRK,Pharmaceuticals: Major,194078417400,78.01,81.37
DIS,Media Conglomerates,186285299200,101.06,119.98
XOM,Integrated Oil,189861698400,44.83,53.88
BAC,Major Banks,198931737300,22.66,29.37
PEP,Beverages: Non-Alcoholic,181651500000,131.67,137.58
CSCO,Information Technology Services,175360388000,41.46,41.17
NVDA,Semiconductors,178411046940,293.74,276.43
KO,Beverages: Non-Alcoholic,193871334600,45.4,55.92
NFLX,Cable/Satellite TV,188302082600,424.68,381.05
CVX,Integrated Oil,170716651200,92.89,96.59
CMCSA,Cable/Satellite TV,165313671463,36.05,42.52
WMT,Food Retail,350528690000,124.73,115.88
ADBE,Packaged Software,168201547110,356.13,360.28
ABT,Medical Specialties,158895795500,93.03,81.61
PYPL,Data Processing Services,145039577400,125.43,112.86
BMY,Pharmaceuticals: Major,136132218200,61.36,60.34
CRM,Packaged Software,144515650000,163.25,176.76
MCD,Restaurants,135223073050,179.24,202.55
AMGN,Biotechnology,135832114770,236.36,212.2
COST,Specialty Stores,134456694200,307.92,309.14
TMO,Medical Specialties,129038390720,336.32,304.96
MDT,Medical Specialties,127664594200,97.9,102.62
LLY,Pharmaceuticals: Major,146604656000,157.89,132.84
ABBV,Pharmaceuticals: Major,120880206200,85.37,88.69
ACN,Information Technology Services,114365457310,181.62,189.55
PM,Tobacco,114153200300,72.2,84.97
ORCL,Packaged Software,163197765000,52.05,50.9
WFC,Major Banks,111845090000,26.32,42.26
NEE,Electric Utilities,112617550500,230.1,268.35
TSLA,Motor Vehicles,141102551490,768.21,743.62
IBM,Information Technology Services,108038698560,122.58,134.3
UNP,Railroads,105055897760,156.38,160.34
TXN,Semiconductors,101413916500,111.54,118.97
NKE,Apparel/Footwear,133342965000,87.2,92.68
C,Financial Conglomerates,93939840000,43.95,67.59
AVGO,Semiconductors,104849187660,264.87,284.97
GILD,Biotechnology,101036355000,79.14,75.4
DHR,Medical Specialties,112283722400,164.45,150.69
AMT,Real Estate Investment Trusts,104899498780,240.26,240.75
HON,Industrial Conglomerates,94889849600,134.87,164.24
LIN,Chemicals: Specialty,95929744120,182.01,198.15
RTX,Aerospace & Defense,50973810250,59.0,79.08
LMT,Aerospace & Defense,106610169600,390.3,381.35
SBUX,Restaurants,83974709000,72.9,82.38
QCOM,Telecommunications Equipment,85134702400,77.63,80.56
MMM,Industrial Conglomerates,85359086400,147.43,153.02
FIS,Data Processing Services,79428623460,131.95,148.61
LOW,Home Improvement Chains,81043775150,110.15,111.04
CVS,Drugstore Chains,78270120500,61.21,64.03
CHTR,Cable/Satellite TV,106476584856,513.44,497.13
MO,Tobacco,70636643700,36.8,42.07
BA,Aerospace & Defense,74186164500,125.4,289.27
MDLZ,Food: Major Diversified,71458647600,50.32,55.6
CI,Managed Health Care,68660151200,190.39,194.34
SPGI,Financial Publishing/Services,68841993000,295.41,289.31
ANTM,Managed Health Care,68323436000,275.07,271.27
INTU,Packaged Software,69753744420,274.48,281.18
BDX,Medical Specialties,72209501250,261.7,245.32
UPS,Air Freight/Couriers,77661520770,92.71,92.75
PLD,Real Estate Investment Trusts,64352649660,87.74,88.27
CAT,Trucks/Construction/Farm Machinery,58302265080,108.91,127.6
CME,Investment Banks/Brokers,61858618560,178.51,209.4
D,Electric Utilities,63520400000,77.94,84.18
CCI,Real Estate Investment Trusts,65734135230,158.68,156.24
AXP,Financial Conglomerates,69533481360,86.74,113.87
VRTX,Biotechnology,68628029130,272.33,232.29
BKNG,Other Consumer Services,57846651660,1393.2,1728.98
ADP,Data Processing Services,62093747520,145.82,163.0
DUK,Electric Utilities,60652816270,83.14,96.67
AMD,Semiconductors,61557746400,52.19,47.46
TJX,Apparel/Footwear Retail,57844359000,48.17,62.19
