,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-04,2020-05-05
AAPL,300.3500061035156,297.42999267578125,299.79998779296875,298.3900146484375,303.19000244140625,309.6300048828125,310.3299865722656,316.9599914550781,312.67999267578125,311.3399963378906,315.239990234375,318.7300109863281,316.57000732421875,317.70001220703125,319.2300109863281,318.30999755859375,308.95001220703125,317.69000244140625,324.3399963378906,323.8699951171875,309.510009765625,308.6600036621094,318.8500061035156,321.45001220703125,325.2099914550781,320.0299987792969,321.54998779296875,319.6099853515625,327.20001220703125,324.8699951171875,324.95001220703125,319.0,323.6199951171875,320.29998779296875,313.04998779296875,298.17999267578125,288.0799865722656,292.6499938964844,273.5199890136719,273.3599853515625,298.80999755859375,289.32000732421875,302.739990234375,292.9200134277344,289.0299987792969,266.1700134277344,285.3399963378906,275.42999267578125,248.22999572753906,277.9700012207031,242.2100067138672,252.86000061035156,246.6699981689453,244.77999877929688,229.24000549316406,224.3699951171875,246.8800048828125,245.52000427246094,258.44000244140625,247.74000549316406,254.80999755859375,254.2899932861328,240.91000366210938,244.92999267578125,241.41000366210938,262.4700012207031,259.42999267578125,266.07000732421875,267.989990234375,273.25,287.04998779296875,284.42999267578125,286.69000244140625,282.79998779296875,276.92999267578125,268.3699951171875,276.1000061035156,275.0299987792969,282.9700012207031,283.1700134277344,278.5799865722656,287.7300109863281,293.79998779296875,289.07000732421875,293.1600036621094,297.55999755859375
AMZN,1898.010009765625,1874.969970703125,1902.8800048828125,1906.8599853515625,1891.969970703125,1901.050048828125,1883.1600341796875,1891.300048828125,1869.43994140625,1862.02001953125,1877.93994140625,1864.719970703125,1892.0,1887.4599609375,1884.5799560546875,1861.6400146484375,1828.3399658203125,1853.25,1858.0,1870.6800537109375,2008.719970703125,2004.199951171875,2049.669921875,2039.8699951171875,2050.22998046875,2079.280029296875,2133.909912109375,2150.800048828125,2160.0,2149.8701171875,2134.8701171875,2155.669921875,2170.219970703125,2153.10009765625,2095.969970703125,2009.2900390625,1972.739990234375,1979.5899658203125,1884.300048828125,1883.75,1953.949951171875,1908.989990234375,1975.8299560546875,1924.030029296875,1901.0899658203125,1800.6099853515625,1891.8199462890625,1820.8599853515625,1676.6099853515625,1785.0,1689.1500244140625,1807.8399658203125,1830.0,1880.9300537109375,1846.0899658203125,1902.8299560546875,1940.0999755859375,1885.8399658203125,1955.489990234375,1900.0999755859375,1963.949951171875,1949.719970703125,1907.699951171875,1918.8299560546875,1906.5899658203125,1997.5899658203125,2011.5999755859375,2043.0,2042.760009765625,2168.8701171875,2283.320068359375,2307.679931640625,2408.18994140625,2375.0,2393.610107421875,2328.1201171875,2363.489990234375,2399.449951171875,2410.219970703125,2376.0,2314.080078125,2372.7099609375,2474.0,2286.0400390625,2315.989990234375,2317.800048828125
BRK-B,228.38999938964844,226.17999267578125,226.99000549316406,225.9199981689453,225.99000549316406,228.64999389648438,226.6199951171875,228.4499969482422,227.1699981689453,228.35000610351562,229.72999572753906,230.1999969482422,228.6300048828125,229.5399932861328,229.3800048828125,226.86000061035156,222.4499969482422,224.02999877929688,224.5,227.8800048828125,224.42999267578125,223.47000122070312,225.0800018310547,228.64999389648438,229.61000061035156,227.3800048828125,227.11000061035156,227.3300018310547,227.44000244140625,226.47000122070312,226.8000030517578,226.77000427246094,229.24000549316406,228.1699981689453,229.3300018310547,221.69000244140625,218.0500030517578,216.05999755859375,207.6699981689453,206.33999633789062,217.6300048828125,208.80999755859375,217.86000061035156,208.9600067138672,205.97999572753906,193.1300048828125,202.72999572753906,194.63999938964844,175.97000122070312,196.39999389648438,177.77000427246094,187.60000610351562,172.44000244140625,174.67999267578125,170.05999755859375,162.1300048828125,178.1999969482422,180.47000122070312,183.89999389648438,179.66000366210938,183.17999267578125,182.8300018310547,175.9499969482422,179.72999572753906,178.33999633789062,185.24000549316406,185.25,191.00999450683594,193.83999633789062,188.77000427246094,192.94000244140625,188.57000732421875,187.9600067138672,191.1999969482422,188.75,183.47999572753906,186.5800018310547,185.6300048828125,186.52000427246094,187.4600067138672,187.1199951171875,189.61000061035156,187.36000061035156,182.6699981689453,177.9499969482422,176.02999877929688
FB,209.77999877929688,208.6699981689453,212.60000610351562,213.05999755859375,215.22000122070312,218.3000030517578,218.05999755859375,221.91000366210938,219.05999755859375,221.14999389648438,221.77000427246094,222.13999938964844,221.44000244140625,221.32000732421875,219.75999450683594,217.94000244140625,214.8699951171875,217.7899932861328,223.22999572753906,209.52999877929688,201.91000366210938,204.19000244140625,209.8300018310547,210.11000061035156,210.85000610351562,212.3300018310547,213.05999755859375,207.19000244140625,210.75999450683594,213.13999938964844,214.17999267578125,217.8000030517578,217.49000549316406,214.5800018310547,210.17999267578125,200.72000122070312,196.77000427246094,197.1999969482422,189.75,192.47000122070312,196.44000244140625,185.88999938964844,191.75999450683594,185.1699981689453,181.08999633789062,169.5,178.19000244140625,170.24000549316406,154.47000122070312,170.27999877929688,146.00999450683594,149.4199981689453,146.9600067138672,153.1300048828125,149.72999572753906,148.10000610351562,160.97999572753906,156.2100067138672,163.33999633789062,156.7899932861328,165.9499969482422,166.8000030517578,159.60000610351562,158.19000244140625,154.17999267578125,165.5500030517578,168.8300018310547,174.27999877929688,175.19000244140625,174.7899932861328,178.1699981689453,176.97000122070312,176.25,179.24000549316406,178.24000549316406,170.8000030517578,182.27999877929688,185.1300048828125,190.07000732421875,187.5,182.91000366210938,194.19000244140625,204.7100067138672,202.27000427246094,205.25999450683594,207.07000732421875
GOOG,1367.3699951171875,1360.6600341796875,1394.2099609375,1393.3399658203125,1404.3199462890625,1419.8299560546875,1429.72998046875,1439.22998046875,1430.8800048828125,1439.199951171875,1451.699951171875,1480.3900146484375,1484.4000244140625,1485.949951171875,1486.6500244140625,1466.7099609375,1433.9000244140625,1452.56005859375,1458.6300048828125,1455.8399658203125,1434.22998046875,1485.93994140625,1447.0699462890625,1448.22998046875,1476.22998046875,1479.22998046875,1508.6800537109375,1508.7900390625,1518.27001953125,1514.6600341796875,1520.739990234375,1519.6700439453125,1526.68994140625,1518.1500244140625,1485.1099853515625,1421.5899658203125,1388.449951171875,1393.1800537109375,1318.0899658203125,1339.3299560546875,1389.1099853515625,1341.3900146484375,1386.52001953125,1319.0400390625,1298.4100341796875,1215.56005859375,1280.3900146484375,1215.4100341796875,1114.9100341796875,1219.72998046875,1084.3299560546875,1119.800048828125,1096.800048828125,1115.2900390625,1072.3199462890625,1056.6199951171875,1134.4599609375,1102.489990234375,1161.75,1110.7099609375,1146.8199462890625,1162.81005859375,1105.6199951171875,1120.8399658203125,1097.8800048828125,1186.9200439453125,1186.510009765625,1210.280029296875,1211.449951171875,1217.56005859375,1269.22998046875,1262.469970703125,1263.469970703125,1283.25,1266.6099853515625,1216.3399658203125,1263.2099609375,1276.31005859375,1279.31005859375,1275.8800048828125,1233.6700439453125,1341.47998046875,1348.6600341796875,1320.6099853515625,1326.800048828125,1351.1099853515625
GOOGL,1368.6800537109375,1361.52001953125,1397.81005859375,1395.1099853515625,1405.0400390625,1419.7900390625,1428.9599609375,1440.030029296875,1430.5899658203125,1439.199951171875,1450.1600341796875,1479.52001953125,1482.25,1483.8699951171875,1484.68994140625,1466.1700439453125,1431.72998046875,1450.5,1456.699951171875,1454.25,1432.780029296875,1482.5999755859375,1445.4100341796875,1446.050048828125,1475.969970703125,1479.1099853515625,1508.6600341796875,1510.06005859375,1518.6300048828125,1513.3900146484375,1518.72998046875,1519.43994140625,1524.8699951171875,1516.989990234375,1483.4599609375,1419.8599853515625,1386.3199462890625,1390.469970703125,1314.949951171875,1339.25,1386.3199462890625,1337.719970703125,1381.5999755859375,1314.760009765625,1295.739990234375,1215.7900390625,1275.1700439453125,1210.9000244140625,1111.550048828125,1214.27001953125,1073.0,1118.06005859375,1091.18994140625,1111.6700439453125,1068.2099609375,1054.1300048828125,1130.010009765625,1101.6199951171875,1162.9200439453125,1110.260009765625,1146.31005859375,1161.949951171875,1102.0999755859375,1117.030029296875,1092.699951171875,1183.18994140625,1182.56005859375,1207.0,1206.5699462890625,1210.4100341796875,1265.22998046875,1257.300048828125,1257.4300537109375,1279.0,1261.1500244140625,1212.1600341796875,1258.4100341796875,1271.1700439453125,1276.5999755859375,1270.8599853515625,1232.5899658203125,1342.1800537109375,1346.699951171875,1317.3199462890625,1322.9000244140625,1349.02001953125
JNJ,145.97000122070312,144.27999877929688,144.10000610351562,144.97999572753906,144.9600067138672,145.38999938964844,145.05999755859375,145.6999969482422,146.52000427246094,147.00999450683594,148.1999969482422,149.1699981689453,149.27000427246094,148.25,148.52999877929688,148.32000732421875,148.75,149.5,150.5399932861328,150.36000061035156,148.8699951171875,150.1699981689453,151.60000610351562,153.99000549316406,153.52999877929688,151.88999938964844,151.86000061035156,151.99000549316406,151.08999633789062,150.08999633789062,150.1300048828125,149.13999938964844,148.94000244140625,148.3699951171875,149.92999267578125,145.91000366210938,144.64999389648438,143.67999267578125,139.1199951171875,134.47999572753906,140.02000427246094,135.58999633789062,143.47999572753906,142.00999450683594,142.02999877929688,136.44000244140625,141.63999938964844,131.8000030517578,125.41000366210938,134.2899932861328,127.12999725341797,136.58999633789062,134.9600067138672,127.05000305175781,119.88999938964844,111.13999938964844,119.18000030517578,119.4000015258789,126.56999969482422,123.16000366210938,133.00999450683594,131.1300048828125,128.80999755859375,133.14999389648438,134.1699981689453,139.75999450683594,137.47999572753906,143.25999450683594,141.22999572753906,139.77000427246094,146.02999877929688,147.66000366210938,149.6699981689453,152.02000427246094,151.6699981689453,149.67999267578125,152.99000549316406,155.50999450683594,154.86000061035156,154.2899932861328,151.38999938964844,150.24000549316406,150.0399932861328,148.2899932861328,148.27000427246094,149.5
JPM,141.08999633789062,138.33999633789062,138.22999572753906,135.8800048828125,136.94000244140625,137.44000244140625,136.07000732421875,137.1999969482422,138.8000030517578,136.72000122070312,137.25,138.1999969482422,136.83999633789062,136.67999267578125,136.5399932861328,133.14999389648438,132.02999877929688,134.42999267578125,134.22999572753906,135.88999938964844,132.36000061035156,133.3699951171875,135.2899932861328,137.58999633789062,137.61000061035156,137.1699981689453,137.74000549316406,138.0,138.0,137.8800048828125,137.4600067138672,135.63999938964844,137.49000549316406,137.49000549316406,135.80999755859375,132.16000366210938,126.26000213623047,126.63999938964844,121.37000274658203,116.11000061035156,121.5199966430664,116.95999908447266,119.8499984741211,113.97000122070312,108.08000183105469,93.44000244140625,100.69999694824219,95.95999908447266,88.05000305175781,103.91000366210938,88.36000061035156,93.76000213623047,83.88999938964844,85.30000305175781,83.5,79.02999877929688,88.43000030517578,91.7300033569336,98.12000274658203,91.12999725341797,93.5,90.02999877929688,84.36000061035156,87.51000213623047,84.05000305175781,89.45999908447266,90.63999938964844,94.30000305175781,102.76000213623047,98.19000244140625,95.5,90.79000091552734,87.33000183105469,95.18000030517578,91.70999908447266,89.05000305175781,89.33999633789062,89.38999938964844,90.70999908447266,94.62000274658203,95.29000091552734,97.86000061035156,95.76000213623047,93.25,92.13999938964844,92.0
MSFT,160.6199951171875,158.6199951171875,159.02999877929688,157.5800018310547,160.08999633789062,162.08999633789062,161.33999633789062,163.27999877929688,162.1300048828125,163.17999267578125,166.1699981689453,167.10000610351562,166.5,165.6999969482422,166.72000122070312,165.0399932861328,162.27999877929688,165.4600067138672,168.0399932861328,172.77999877929688,170.22999572753906,174.3800048828125,180.1199951171875,179.89999389648438,183.6300048828125,183.88999938964844,188.6999969482422,184.44000244140625,184.7100067138672,183.7100067138672,185.35000610351562,187.22999572753906,187.27999877929688,184.4199981689453,178.58999633789062,170.88999938964844,168.07000732421875,170.1699981689453,158.17999267578125,162.00999450683594,172.7899932861328,164.50999450683594,170.5500030517578,166.27000427246094,161.57000732421875,150.6199951171875,160.9199981689453,153.6300048828125,139.05999755859375,158.8300018310547,135.4199981689453,146.57000732421875,140.39999389648438,142.7100067138672,137.35000610351562,135.97999572753906,148.33999633789062,146.9199981689453,156.11000061035156,149.6999969482422,160.22999572753906,157.7100067138672,152.11000061035156,155.25999450683594,153.8300018310547,165.27000427246094,163.49000549316406,165.1300048828125,165.13999938964844,165.50999450683594,173.6999969482422,171.8800048828125,177.0399932861328,178.60000610351562,175.05999755859375,167.82000732421875,173.52000427246094,171.4199981689453,174.5500030517578,174.0500030517578,169.80999755859375,177.42999267578125,179.2100067138672,174.57000732421875,178.83999633789062,180.75999450683594
V,191.1199951171875,189.60000610351562,189.19000244140625,188.69000244140625,191.9199981689453,193.25,193.77000427246094,195.3300018310547,196.0500030517578,199.8000030517578,200.9499969482422,204.6999969482422,207.2899932861328,207.89999389648438,206.52000427246094,205.0,201.69000244140625,202.85000610351562,204.86000061035156,208.2100067138672,198.97000122070312,200.80999755859375,203.55999755859375,202.80999755859375,203.0399932861328,202.74000549316406,205.99000549316406,203.94000244140625,207.44000244140625,207.39999389648438,210.2899932861328,211.1999969482422,213.30999755859375,211.4499969482422,208.80999755859375,198.7899932861328,188.39999389648438,187.2100067138672,180.00999450683594,181.75999450683594,192.3300018310547,185.72999572753906,194.2899932861328,186.9600067138672,184.36000061035156,171.1300048828125,182.60000610351562,172.9499969482422,160.0800018310547,175.8300018310547,152.00999450683594,157.88999938964844,148.47999572753906,152.25,146.8300018310547,135.74000549316406,154.52999877929688,161.77999877929688,168.8800048828125,161.55999755859375,165.57000732421875,161.1199951171875,153.11000061035156,157.38999938964844,151.85000610351562,169.44000244140625,168.58999633789062,174.94000244140625,173.69000244140625,168.99000549316406,174.6199951171875,165.9600067138672,162.4199981689453,169.5399932861328,164.22000122070312,160.52999877929688,166.58999633789062,166.3800048828125,167.32000732421875,171.75999450683594,171.25,181.7899932861328,178.72000122070312,175.57000732421875,176.14999389648438,178.44000244140625
